sex,age,address,famsize,Medu,Fedu,Mjob,Fjob,guardian,traveltime,studytime,failures,famsup,paid,activities,internet,romantic,famrel,freetime,goout,health,absences,IQ,passed
1,18,1,4,4,4,0,1,0,2,2,0,0,0,0,0,0,4,3,4,3,6,3,no
1,17,1,4,1,1,0,1,1,1,2,0,1,0,0,1,0,5,3,3,3,4,4,no
1,15,1,2,1,1,0,1,0,1,2,3,0,1,0,1,0,4,3,2,3,10,8,yes
1,15,1,5,4,2,1,0,0,1,3,0,1,1,1,1,1,3,2,2,5,2,9,yes
1,16,1,4,3,3,1,1,1,1,2,0,1,1,0,0,0,4,3,2,5,4,7,yes
0,16,1,2,4,3,1,1,0,1,2,0,1,1,1,1,0,5,4,2,5,10,8,yes
0,16,1,2,2,2,1,1,0,1,2,0,0,0,0,1,0,4,4,4,3,0,9,yes
1,17,1,6,4,4,1,1,0,2,2,0,1,0,0,0,0,4,1,4,1,6,4,no
0,15,1,2,3,2,1,1,0,1,2,0,1,1,0,1,0,4,2,2,1,0,9,yes
0,15,1,4,3,4,1,1,0,1,2,0,1,1,1,1,0,5,5,1,5,0,7,yes
1,15,1,4,4,4,1,1,0,1,2,0,1,1,0,1,0,3,3,3,2,0,2,no
1,15,1,6,2,1,1,1,1,3,3,0,1,0,1,1,0,5,2,2,4,4,6,yes
0,15,1,2,4,4,1,0,1,1,1,0,1,1,1,1,0,4,3,3,5,2,7,yes
0,15,1,5,4,3,1,1,0,2,2,0,1,1,0,1,0,5,4,3,3,2,8,yes
0,15,1,4,2,2,1,1,1,1,3,0,1,0,0,1,1,4,5,2,3,0,7,yes
1,16,1,6,4,4,1,1,0,1,1,0,1,0,0,1,0,4,4,4,2,4,8,yes
1,16,1,3,4,4,1,0,0,1,3,0,1,1,1,1,0,3,2,3,2,6,9,yes
1,16,1,4,3,3,1,1,0,3,2,0,1,0,1,0,0,5,3,2,4,4,7,yes
0,17,1,5,3,2,1,0,0,1,1,3,1,0,1,1,0,5,5,5,5,16,4,no
0,16,1,2,4,3,1,1,1,1,1,0,0,1,1,1,0,3,1,3,5,4,8,yes
0,15,1,4,4,3,1,1,0,1,2,0,0,0,0,1,0,4,4,1,1,0,7,yes
0,15,1,3,4,4,1,1,1,1,1,0,1,1,0,1,0,5,4,2,5,0,9,yes
0,16,1,5,4,2,1,1,0,1,2,0,0,0,1,1,0,4,5,1,5,2,7,yes
0,16,1,3,2,2,0,1,0,2,2,0,1,0,1,1,0,5,4,4,5,0,9,yes
1,15,0,2,2,4,1,1,0,1,3,0,1,1,1,1,0,4,3,2,5,2,3,no
1,16,1,4,2,2,1,0,0,1,1,2,1,1,0,1,0,1,2,2,5,14,3,no
0,15,1,5,2,2,0,1,0,1,1,0,1,1,0,1,0,4,2,2,5,2,6,yes
0,15,1,5,4,2,1,0,0,1,1,0,0,1,0,1,0,2,2,4,1,4,8,yes
0,16,1,2,3,4,1,1,0,1,2,0,1,0,1,1,0,5,3,3,5,4,7,yes
0,16,1,5,4,4,1,1,0,1,2,0,1,1,1,1,1,4,4,5,5,16,9,yes
0,15,1,3,4,4,1,1,0,1,2,0,1,1,0,1,0,5,4,2,5,0,6,yes
0,15,1,6,4,4,1,1,0,2,2,0,1,0,1,1,0,4,3,1,5,0,7,yes
0,15,0,3,4,3,1,0,0,1,2,0,1,0,1,1,1,4,5,2,5,0,6,yes
0,15,1,6,3,3,0,1,0,1,2,0,0,0,1,1,0,5,3,2,2,0,8,yes
0,16,1,3,3,2,0,1,0,1,1,0,1,1,0,1,0,5,4,3,5,0,8,yes
1,15,1,2,2,3,0,1,1,2,1,0,1,0,1,0,0,3,5,1,5,0,4,no
0,15,1,2,4,3,1,0,0,1,3,0,1,0,1,1,0,5,4,3,4,2,7,yes
0,16,0,4,4,4,0,1,0,2,3,0,1,0,1,1,1,2,4,3,5,7,5,yes
1,15,0,6,3,4,1,1,0,1,3,0,1,1,1,1,0,4,3,2,5,2,6,yes
1,15,0,3,2,2,0,1,0,1,1,0,1,1,1,0,0,4,3,1,2,8,8,yes
1,16,1,2,2,2,0,1,0,2,2,1,1,0,1,1,1,3,3,3,3,25,4,yes
0,15,1,4,4,4,0,1,1,1,1,0,1,0,0,1,1,5,4,3,5,8,7,yes
0,15,1,6,4,4,1,1,1,1,2,0,1,0,1,1,0,4,3,3,5,2,8,yes
0,15,1,2,2,2,1,0,1,1,1,0,1,0,0,1,0,5,4,1,1,0,5,yes
1,16,1,5,2,2,0,0,1,2,2,1,0,0,1,1,0,4,3,3,5,14,7,no
1,15,1,2,4,3,0,1,0,1,2,0,1,1,1,1,1,5,2,2,5,8,4,no
1,16,1,4,3,3,0,0,0,1,2,0,1,0,0,1,0,2,3,5,3,12,8,yes
0,16,1,5,4,3,1,1,0,1,4,0,0,0,1,1,0,4,2,2,2,4,8,yes
0,15,1,5,4,2,1,1,0,1,2,0,1,1,0,0,0,4,3,3,5,2,7,yes
1,15,1,4,4,4,1,1,1,1,2,1,1,0,1,1,0,4,4,4,3,2,4,no
1,16,1,6,2,2,1,0,0,3,2,0,1,1,0,1,0,4,3,3,4,2,6,yes
1,15,1,3,4,2,1,1,0,1,2,0,1,1,0,1,0,4,3,3,5,2,7,yes
0,15,1,4,4,2,1,1,1,2,1,1,0,0,0,0,0,5,5,5,5,6,6,yes
1,15,1,2,4,4,1,0,0,1,1,0,1,1,0,1,0,3,3,4,5,0,8,yes
1,15,1,6,3,3,0,1,0,1,1,0,0,1,0,1,0,5,3,4,1,6,7,yes
1,16,1,7,2,1,0,1,0,1,2,0,0,1,1,1,1,5,3,4,2,8,9,yes
1,15,1,3,4,3,1,0,0,1,2,0,1,1,1,1,0,4,3,2,1,0,9,yes
0,15,1,5,4,4,1,1,0,1,2,0,1,0,1,0,0,3,2,2,5,4,3,yes
0,15,1,4,1,2,0,0,1,1,2,0,1,0,1,1,0,4,3,2,5,2,4,no
1,16,1,3,4,2,1,1,0,1,2,0,1,0,0,1,0,4,2,3,5,2,7,yes
1,16,0,2,4,4,1,1,0,1,2,0,1,0,1,0,0,2,4,4,4,6,8,yes
1,16,1,5,1,1,1,1,1,4,1,0,1,0,1,1,1,5,5,5,5,6,9,yes
1,16,1,6,1,2,0,0,1,1,2,0,0,0,1,1,0,4,4,3,1,4,3,no
1,16,1,3,4,3,1,1,0,1,3,0,1,1,1,1,0,3,4,4,4,2,2,no
1,15,1,3,4,3,1,1,1,1,2,0,0,0,1,1,1,4,4,4,2,0,6,yes
1,16,1,6,4,3,1,0,0,3,2,0,1,0,1,1,0,5,4,3,1,2,7,yes
0,15,1,4,4,4,0,1,0,1,4,0,1,0,1,1,1,1,3,3,3,4,8,yes
1,16,1,2,3,1,1,1,0,1,4,0,1,1,0,1,0,4,3,3,5,4,3,no
1,15,0,5,2,2,1,0,0,2,2,0,1,1,0,1,0,4,1,3,4,2,4,no
1,15,0,6,3,1,0,1,1,2,4,0,1,0,0,1,0,4,4,2,3,12,6,yes
0,16,1,3,3,1,0,1,1,2,4,0,1,1,0,1,0,4,3,2,5,0,8,yes
0,15,1,6,4,2,0,1,0,1,4,0,0,0,0,1,0,3,3,3,3,0,7,yes
1,15,0,3,1,1,0,1,0,1,2,2,1,0,0,1,1,3,3,4,5,2,6,no
0,16,1,4,3,1,0,1,0,1,1,0,0,0,1,0,0,5,3,2,5,2,9,yes
1,16,1,4,3,3,0,1,0,1,2,0,1,1,1,1,0,4,3,3,5,54,7,yes
0,15,1,4,4,3,1,1,0,1,2,0,1,1,1,1,0,4,3,3,5,6,8,yes
0,15,1,5,4,0,1,1,0,2,4,0,0,0,1,1,0,3,4,3,1,8,9,yes
1,16,1,3,2,2,0,1,0,1,4,0,0,1,0,1,1,5,2,3,3,0,8,yes
0,17,1,4,2,1,0,1,0,2,1,3,1,0,1,1,0,4,5,1,3,2,5,yes
1,16,1,5,3,4,0,1,0,1,2,0,1,0,0,1,0,2,4,3,3,12,5,no
0,15,1,3,2,3,0,1,1,1,1,0,1,1,1,1,1,3,2,2,3,2,7,yes
0,15,1,5,2,3,0,1,0,1,3,0,0,1,0,1,0,5,3,2,5,4,6,yes
1,15,1,6,3,2,1,1,0,1,2,0,1,1,0,1,0,4,4,4,5,10,4,no
0,15,1,3,2,2,1,1,0,2,2,0,0,1,1,1,0,5,3,3,4,4,4,yes
1,15,1,2,1,1,0,1,1,1,2,0,1,0,1,1,0,4,3,2,4,2,5,yes
1,15,1,5,4,4,1,0,1,2,2,2,0,1,0,1,1,4,4,4,5,6,7,no
1,16,1,6,2,2,0,1,0,1,2,0,1,0,0,0,0,4,3,4,2,4,3,no
1,15,1,3,4,2,0,1,0,1,3,0,1,0,1,1,0,5,3,3,1,4,7,yes
0,16,1,2,2,2,1,1,1,2,2,1,0,1,1,1,0,4,4,2,3,12,8,yes
0,16,1,5,4,4,1,1,0,1,2,0,1,0,0,0,0,4,1,3,5,18,3,no
1,16,1,6,3,3,0,1,0,1,3,0,1,1,0,1,1,4,3,3,4,0,3,no
1,15,1,2,4,3,1,1,0,1,1,0,0,1,1,1,0,4,5,5,1,4,7,yes
1,16,1,6,3,1,0,1,1,1,2,0,1,0,0,0,0,3,3,3,2,4,2,no
1,16,1,2,4,2,1,0,0,2,2,0,1,1,1,1,0,5,3,3,1,0,6,yes
0,15,1,2,2,2,1,1,0,1,4,0,1,0,1,1,0,4,3,4,4,6,7,yes
1,15,0,4,1,1,0,1,0,2,4,1,1,1,1,1,0,3,1,2,1,2,5,yes
0,16,0,5,4,3,1,1,0,2,1,0,1,0,1,1,0,3,3,3,4,2,5,yes
1,16,1,5,2,1,0,1,0,1,2,0,1,1,0,0,1,4,3,5,5,2,6,yes
1,16,1,6,4,4,0,1,0,1,1,0,0,0,1,1,0,5,3,4,1,6,7,yes
1,16,1,4,4,3,0,0,0,1,3,0,1,1,0,1,0,5,3,5,3,0,3,no
0,16,1,6,4,4,1,0,0,1,1,0,1,1,1,1,0,4,5,5,4,14,3,no
0,16,1,3,4,4,1,1,1,1,3,0,1,0,1,1,1,4,4,3,4,0,8,yes
0,15,1,5,4,4,1,1,0,1,1,0,1,0,1,1,0,5,3,3,5,4,9,yes
1,15,1,6,3,2,1,1,0,2,2,0,1,1,0,1,0,4,3,5,2,26,3,no
0,15,1,3,3,4,1,1,0,1,2,0,1,1,1,1,0,5,4,4,1,0,6,yes
1,15,1,5,3,3,0,1,1,1,4,0,0,0,0,0,0,4,3,3,4,10,7,yes
1,15,1,3,2,2,0,1,0,1,4,0,1,1,0,1,0,5,1,2,3,8,2,no
0,16,1,4,3,3,1,1,1,1,3,0,1,0,1,1,0,5,3,3,5,2,7,yes
0,15,0,3,4,4,0,1,1,4,4,0,1,1,1,1,1,1,3,5,1,6,8,yes
1,16,1,3,4,4,1,1,0,1,3,0,1,1,1,1,1,5,4,5,4,4,6,yes
0,15,1,3,4,4,1,1,0,1,1,0,0,0,1,1,0,5,5,3,4,6,7,yes
1,16,0,4,3,3,1,1,1,1,3,1,1,0,1,1,0,4,1,2,2,0,5,yes
1,16,1,3,2,2,0,1,0,1,2,1,0,0,1,1,0,3,1,2,5,6,9,yes
0,15,1,4,4,2,1,1,0,1,1,0,0,0,0,1,0,3,5,2,3,10,6,yes
0,15,0,5,2,1,1,1,0,1,2,0,0,0,1,1,1,5,4,2,5,8,2,no
0,16,1,3,4,4,1,1,1,1,2,0,1,0,1,1,0,5,4,4,5,2,5,yes
0,15,1,4,4,4,0,1,1,2,2,0,1,0,1,0,0,4,4,3,2,2,6,yes
0,16,1,5,3,3,0,1,1,2,1,0,0,0,1,1,0,5,4,2,5,0,4,yes
0,17,0,3,1,3,0,1,1,3,2,1,1,0,1,1,0,5,2,4,5,20,5,no
0,15,1,4,3,4,0,1,1,1,1,0,0,0,0,1,0,3,4,3,4,6,6,yes
1,15,1,3,1,2,0,1,0,1,2,0,0,0,0,1,0,3,2,3,1,2,6,yes
0,15,1,4,2,2,1,1,1,1,4,0,1,1,1,1,0,5,5,4,5,6,5,yes
1,16,1,3,2,4,0,1,1,2,2,0,1,1,1,1,1,4,2,2,5,2,7,yes
0,16,1,2,4,4,0,1,0,1,1,0,1,0,1,1,0,3,4,4,5,18,5,yes
1,16,1,4,2,2,0,1,0,1,2,0,0,1,0,1,1,5,4,4,5,0,6,no
0,15,1,5,3,4,1,0,1,1,1,0,0,0,0,1,0,5,5,5,5,0,7,yes
1,15,1,2,3,4,0,1,0,1,2,0,0,0,1,1,1,5,3,2,1,0,5,yes
1,19,1,5,0,1,0,1,1,1,2,3,1,0,0,0,0,3,4,2,5,2,7,no
0,18,0,5,2,2,1,1,0,1,1,2,1,0,1,1,0,3,3,3,4,0,5,no
0,16,0,4,4,4,1,1,0,1,1,0,0,1,1,1,0,3,5,5,4,8,7,yes
1,15,0,5,3,4,1,1,1,2,3,2,1,0,0,1,1,4,2,2,5,0,8,no
1,15,1,6,1,1,0,1,0,3,1,0,1,0,1,1,1,4,3,3,4,0,6,no
1,17,1,2,2,2,0,1,1,1,1,0,1,0,0,1,1,3,4,4,5,12,8,yes
1,16,1,5,3,4,1,1,1,1,1,0,0,0,0,1,0,3,2,1,5,16,6,yes
0,15,0,3,3,4,0,1,0,4,2,0,1,0,0,0,1,5,3,3,5,0,9,no
1,15,1,5,4,4,1,0,0,1,3,0,1,0,1,1,1,4,3,3,5,0,3,no
0,17,0,3,3,4,0,1,0,3,2,0,0,0,0,0,0,5,4,5,5,0,4,no
1,16,1,5,3,3,0,1,1,2,1,2,1,0,1,1,1,4,3,2,5,0,3,no
0,16,1,2,1,1,1,1,0,1,2,1,0,0,0,0,1,4,4,4,5,0,8,yes
1,15,1,3,4,4,1,1,0,2,1,0,0,0,1,1,0,4,3,2,5,0,7,yes
0,15,1,4,4,3,1,1,1,2,4,0,1,0,0,1,0,2,2,2,3,0,2,no
0,16,1,4,2,2,0,1,1,2,1,2,1,0,1,1,0,2,3,3,2,8,2,no
1,15,1,4,4,4,1,1,0,1,3,0,1,1,1,1,0,4,2,2,5,2,8,yes
1,16,1,2,1,1,0,0,0,1,1,0,0,0,0,1,0,3,4,4,1,2,9,yes
0,17,1,4,2,1,0,1,0,1,1,3,1,0,0,1,0,5,4,5,5,0,3,no
1,15,1,5,1,1,0,0,1,1,2,0,1,1,0,1,0,4,4,2,5,0,7,yes
1,15,1,4,3,2,1,1,1,1,2,3,1,0,0,1,0,3,3,2,3,0,2,no
1,15,1,3,1,2,0,1,0,1,2,0,1,1,0,1,0,4,3,2,5,2,8,yes
0,16,1,5,4,4,1,1,0,1,1,0,1,0,0,1,1,3,3,2,5,0,4,no
